dataset;method;cls;nr_events;n_iter;metric;score
turnaround_anon_sla;cluster_index;xgboost;1;-1;auc;0.575
turnaround_anon_sla;cluster_index;xgboost;2;-1;auc;0.6875
turnaround_anon_sla;cluster_index;xgboost;3;-1;auc;0.775
turnaround_anon_sla;cluster_index;xgboost;4;-1;auc;0.775
turnaround_anon_sla;cluster_index;xgboost;5;-1;auc;0.6000000000000001
turnaround_anon_sla;cluster_index;xgboost;6;-1;auc;0.925
turnaround_anon_sla;cluster_index;xgboost;7;-1;auc;0.7999999999999999
turnaround_anon_sla;cluster_index;xgboost;8;-1;auc;0.4375
turnaround_anon_sla;cluster_index;xgboost;9;-1;auc;0.6375
turnaround_anon_sla;cluster_index;xgboost;10;-1;auc;0.675
turnaround_anon_sla;cluster_index;xgboost;11;-1;auc;0.6000000000000001
turnaround_anon_sla;cluster_index;xgboost;12;-1;auc;0.25
turnaround_anon_sla;cluster_index;xgboost;13;-1;auc;0.35
turnaround_anon_sla;cluster_index;xgboost;14;-1;auc;0.5625
turnaround_anon_sla;cluster_index;xgboost;15;-1;auc;0.8875
turnaround_anon_sla;cluster_index;xgboost;16;-1;auc;0.6375
turnaround_anon_sla;cluster_index;xgboost;17;-1;auc;0.6875
turnaround_anon_sla;cluster_index;xgboost;18;-1;auc;0.875
turnaround_anon_sla;cluster_index;xgboost;19;-1;auc;0.7625
turnaround_anon_sla;cluster_index;xgboost;20;-1;auc;0.5125
turnaround_anon_sla;cluster_index;xgboost;21;-1;auc;0.7125
turnaround_anon_sla;cluster_index;xgboost;22;-1;auc;0.6875
turnaround_anon_sla;cluster_index;xgboost;23;-1;auc;0.95
turnaround_anon_sla;cluster_index;xgboost;24;-1;auc;0.9
turnaround_anon_sla;cluster_index;xgboost;25;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;26;-1;auc;0.625
turnaround_anon_sla;cluster_index;xgboost;27;-1;auc;0.675
turnaround_anon_sla;cluster_index;xgboost;28;-1;auc;0.7037037037037037
turnaround_anon_sla;cluster_index;xgboost;29;-1;auc;0.888888888888889
turnaround_anon_sla;cluster_index;xgboost;30;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;31;-1;auc;0.8333333333333334
turnaround_anon_sla;cluster_index;xgboost;32;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;33;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;34;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;35;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;36;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;37;-1;auc;1.0
turnaround_anon_sla;cluster_index;xgboost;38;-1;auc;0.5
turnaround_anon_sla;cluster_index;xgboost;39;-1;auc;nan
turnaround_anon_sla;cluster_index;xgboost;-1;-1;auc;0.7295479142070052
